../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1/
Normalize the input for the first 128 dim with total 167 dim
# Training model ----------------
# Train epoch 0 ----------------
Batch 10100: loss 0.000289, reg: 4.4e-07
Batch 10200: loss 0.000289, reg: 4.39e-07
Batch 10300: loss 0.000288, reg: 4.38e-07
Batch 10400: loss 0.000287, reg: 4.37e-07
Batch 10500: loss 0.000286, reg: 4.36e-07
Batch 10600: loss 0.000286, reg: 4.34e-07
Batch 10700: loss 0.000285, reg: 4.33e-07
Batch 10800: loss 0.000284, reg: 4.32e-07
Batch 10900: loss 0.000283, reg: 4.31e-07
Batch 11000: loss 0.000282, reg: 4.3e-07
Batch 11100: loss 0.000282, reg: 4.29e-07
Batch 11200: loss 0.000281, reg: 4.28e-07
Batch 11300: loss 0.00028, reg: 4.27e-07
Batch 11400: loss 0.00028, reg: 4.25e-07
Batch 11500: loss 0.00028, reg: 4.24e-07
Batch 11600: loss 0.000279, reg: 4.23e-07
Batch 11700: loss 0.000279, reg: 4.22e-07
Batch 11800: loss 0.000279, reg: 4.21e-07
Batch 11900: loss 0.000279, reg: 4.2e-07
Batch 12000: loss 0.00028, reg: 4.19e-07
Batch 12100: loss 0.000281, reg: 4.18e-07
Batch 12200: loss 0.000282, reg: 4.16e-07
Batch 12300: loss 0.000282, reg: 4.15e-07
Batch 12400: loss 0.000282, reg: 4.14e-07
Batch 12500: loss 0.000283, reg: 4.13e-07
Batch 12600: loss 0.000283, reg: 4.13e-07
Batch 12700: loss 0.000283, reg: 4.12e-07
Batch 12800: loss 0.000283, reg: 4.11e-07
Batch 12900: loss 0.000284, reg: 4.1e-07
Batch 13000: loss 0.000284, reg: 4.09e-07
Batch 13100: loss 0.000283, reg: 4.08e-07
Batch 13200: loss 0.000283, reg: 4.07e-07
Batch 13300: loss 0.000282, reg: 4.06e-07
Batch 13400: loss 0.000282, reg: 4.05e-07
Batch 13500: loss 0.000282, reg: 4.04e-07
Batch 13600: loss 0.000282, reg: 4.03e-07
Batch 13700: loss 0.000282, reg: 4.03e-07
Batch 13800: loss 0.000282, reg: 4.02e-07
Batch 13900: loss 0.000281, reg: 4.01e-07
Batch 14000: loss 0.000281, reg: 4e-07
Batch 14100: loss 0.000282, reg: 3.99e-07
Batch 14200: loss 0.000282, reg: 3.98e-07
Batch 14300: loss 0.000283, reg: 3.97e-07
Batch 14400: loss 0.000284, reg: 3.97e-07
Batch 14500: loss 0.000284, reg: 3.96e-07
Batch 14600: loss 0.000284, reg: 3.95e-07
Batch 14700: loss 0.000284, reg: 3.94e-07
Batch 14800: loss 0.000283, reg: 3.93e-07
Batch 14900: loss 0.000283, reg: 3.92e-07
Batch 15000: loss 0.000283, reg: 3.92e-07
Batch 15100: loss 0.000283, reg: 3.91e-07
Batch 15200: loss 0.000283, reg: 3.9e-07
Batch 15300: loss 0.000282, reg: 3.89e-07
Batch 15400: loss 0.000283, reg: 3.88e-07
Batch 15500: loss 0.000284, reg: 3.88e-07
Batch 15600: loss 0.000284, reg: 3.87e-07
Batch 15700: loss 0.000286, reg: 3.86e-07
Batch 15800: loss 0.000286, reg: 3.86e-07
Batch 15900: loss 0.000286, reg: 3.85e-07
Batch 16000: loss 0.000286, reg: 3.84e-07
Batch 16100: loss 0.000285, reg: 3.84e-07
Batch 16200: loss 0.000286, reg: 3.83e-07
Batch 16300: loss 0.000286, reg: 3.82e-07
Batch 16400: loss 0.000287, reg: 3.82e-07
Batch 16500: loss 0.000287, reg: 3.81e-07
Batch 16600: loss 0.000286, reg: 3.81e-07
Batch 16700: loss 0.000286, reg: 3.8e-07
Batch 16800: loss 0.000285, reg: 3.79e-07
Batch 16900: loss 0.000285, reg: 3.79e-07
Batch 17000: loss 0.000285, reg: 3.78e-07
Batch 17100: loss 0.000284, reg: 3.78e-07
Batch 17200: loss 0.000284, reg: 3.77e-07
Batch 17300: loss 0.000283, reg: 3.76e-07
