num_hours_pred,add_missing,identifier,num_hidden,num_layers,l2_penalty,pos_cls_ratio,n_mc_smps,,,,test_loss,test_reg_loss,test_acc,test_true_positive,test_auroc,test_aupr,best_model_idx,num_epochs_run
6,True,0513-rnn_mean-mimic-nh16-nl1-c1e-05-keeprate0.7_0.5_0.5-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,16,1,1E-05,1,20,0.7,0.5,0.5,0.0044303689,1.56522701457582E-05,0.6577669903,0.1930783242,0.6639272871,0.5510485109,14,18
6,True,RF (forward),,,,,,,,,,,,,0.6566107164,0.605469635,,
6,True,RF (mean),,,,,,,,,,,,,0.6462299365,0.58,,
6,True,LR (forward),,,,,,,,,,,,,0.6733840618,0.5827879056,,
6,True,LR (mean),,,,,,,,,,,,,0.654,0.54,,
6,True,0514-rnn_analyze_all-mimic-nh8-nl1-c1e-04-keeprate0.9_0.6_0.9-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,8,1,0.0001,1,20,0.9,0.6,0.9,0.00156480434075,2.55953860984029E-05,0.619314205738279,0,0.661800535892323,0.602879007255004,5,10
6,True,0515-rnn_train_all-mimic-nh8-nl1-c1e-05-keeprate0.9_0.6_0.9-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,8,1,1E-05,1,20,0.9,0.6,0.9,0.000403228744164,7.4914207785497E-06,0.965977752300685,0,0.928515168645185,0.500036792402774,29,30
6,True,0516-rnn-analyze-pos-only-mimic-nh8-nl1-c1e-05-keeprate0.9_0.6_0.9-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,8,1,1E-05,1,20,0.9,0.6,0.9,0.000368573809126,1.22860590306431E-05,0.965977752300685,0,0.918533938647654,0.491306653478763,11,16
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh64-nl2-c1e-05-keeprate0.7_0.7_0.9-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,64,2,1E-05,1,1,0.7,0.7,0.9,0.00075320260624,2.64197645788042E-05,0.941730789501423,0,0.914750768611849,0.583690421246762,12,17
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh4-nl1-c1e-05-keeprate0.9_0.9_0.5-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,4,1,1E-05,1,1,0.9,0.9,0.5,0.000713232885255,4.18396186940515E-06,0.944450300411089,0.05246020260492,0.90421192749266,0.575858403861089,18,23
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh8-nl2-c1e-04-keeprate0.9_0.9_0.7-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,8,2,0.0001,1,1,0.9,0.9,0.7,8.59688969755127E-05,5.94158810267728E-06,0.941529426784118,0,0.907503523877664,0.565235679083198,3,8
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh8-nl1-c1e-04-keeprate0.5_0.5_0.7-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,8,1,0.0001,1,1,0.5,0.5,0.7,0.000701238774853,1.01297158442166E-05,0.9422367450195,0.00904486251809,0.906469735429581,0.563331220273396,18,23
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh32-nl2-c1e-05-keeprate0.9_0.5_0.9-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,32,2,1E-05,1,1,0.9,0.5,0.9,0.000773252001472,1.82733609681925E-05,0.941772952461263,0.000723589001447,0.916794452776969,0.586117417907975,13,18
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh16-nl2-c1e-05-keeprate0.5_0.9_0.5-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,16,2,1E-05,1,1,0.5,0.9,0.5,8.75122249636107E-05,3.53375591138112E-06,0.941529426784118,0,0.924583935723156,0.601050560050015,12,17
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh16-nl1-c1e-04-keeprate0.5_0.9_0.9-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,16,1,0.0001,1,1,0.5,0.9,0.9,0.000737958405486,1.62118814446411E-05,0.944682196690208,0.061866859623734,0.904054728183,0.556266553931766,11,16
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh8-nl3-c1e-03-keeprate0.9_0.7_0.9-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,8,3,0.001,1,1,0.9,0.7,0.9,0.000103235153408,5.44024043760839E-06,0.941529426784118,0,0.898958178110017,0.515550595069463,10,15
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh16-nl3-c1e-04-keeprate0.9_0.7_0.9-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,16,3,0.0001,1,1,0.9,0.7,0.9,9.7766627859456E-05,4.79221085293426E-06,0.941529426784118,0,0.920059634536468,0.581843082129379,21,26
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh16-nl2-c1e-03-keeprate0.9_0.9_0.7-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,16,2,0.001,1,1,0.9,0.9,0.7,0.000793333296687,1.310021395149E-05,0.941730789501423,0,0.893936918317199,0.526211738579953,20,25
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh16-nl2-c1e-03-keeprate0.5_0.5_0.5-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,16,2,0.001,1,1,0.5,0.5,0.5,0.000100106996824,5.5097487001192E-06,0.941529426784118,0,0.886980748196942,0.485366559907027,7,12
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh32-nl2-c1e-03-keeprate0.9_0.9_0.7-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,32,2,0.001,1,1,0.9,0.9,0.7,0.000813992054748,1.72426295955108E-05,0.941730789501423,0,0.892956754157693,0.515451361409112,13,18
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh16-nl1-c1e-03-keeprate0.5_0.7_0.9-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,16,1,0.001,1,1,0.5,0.7,0.9,0.000788736525034,1.31250349926979E-05,0.941730789501423,0,0.875784048716875,0.483415798157095,12,17
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh32-nl1-c1e-05-keeprate0.7_0.7_0.5-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,32,1,1E-05,1,1,0.7,0.7,0.5,7.52847584298886E-05,4.18471227887841E-06,0.941976254308694,0.00764192139738,0.931323053643533,0.627629608255427,15,20
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh4-nl3-c1e-04-keeprate0.5_0.9_0.5-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,4,3,0.0001,1,1,0.5,0.9,0.5,0.000104529163744,3.15819361564955E-06,0.941529426784118,0,0.914429296293555,0.557225983112076,19,24
6,True,1022-12hours_34feats_6noise_negsampled-mimic-nh16-nl2-c1e-05-keeprate0.5_0.5_0.7-npred6-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,16,2,1E-05,1,1,0.5,0.5,0.7,0.00072508071117,1.35941394015046E-05,0.941730789501423,0,0.903700271458858,0.549545209154006,8,13
12.01,True,1022-12hours_34feats_6noise_negsampled-mimic-nh4-nl1-c1e-03-keeprate0.7_0.9_0.7-npred12-miss1-n_mc_1-MIMIC_window-mingie_34features_6noise-ManyToOneRNN,4,1,0.001,1,1,0.7,0.9,0.7,9.63453362167612E-05,6.47460997459434E-06,0.941529426784118,0,0.898643191967039,0.522763628089483,2,7
