loss,reg_loss,total_num,spearman_corr,r_square,pea,identifier,model_type,lr,keep_prob,reg_constant,num_hidden_units,num_hidden_layers,normalized_state,num_shared_layers,num_sep_layers,all_identifier
1.5552520296239727,2.867081320800935e-06,272575,0.029380352148481455,-4713.194236577182,0.02711351588368416,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,1.0,0.0001,64,4,1,5,2,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl4-hu64-lr0.01-reg0.0001-kp1.0-n1
0.008065073497603312,1.2681635297440152e-08,272575,0.007213515367269096,-23.44640593912903,0.030693991109728813,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,1.0,1e-05,64,3,1,4,3,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl3-hu64-lr0.0001-reg1e-05-kp1.0-n1
0.00032945407233246664,3.7824058381374925e-05,272575,0.07902076047575336,0.0013769666440532902,0.12054011225700378,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,0.5,0.001,256,5,1,3,5,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl5-hu256-lr0.001-reg0.001-kp0.5-n1
0.0003281793473679849,3.1304662115871906e-05,272575,0.08877388294477428,0.005240855280912782,0.1255383938550949,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,0.7,0.001,256,2,1,2,5,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl2-hu256-lr0.0001-reg0.001-kp0.7-n1
0.00032990697899487246,7.228403546832851e-07,272575,0.15127981408519386,4.147891710548635e-06,0.13252632319927216,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,0.5,0.001,16,4,1,3,4,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl4-hu16-lr0.001-reg0.001-kp0.5-n1
0.0003299086486052559,8.789009520171476e-09,272575,nan,-9.038054993304456e-07,5.119148660526207e-09,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,0.5,0.01,16,4,1,4,4,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl4-hu16-lr0.001-reg0.01-kp0.5-n1
88.84681514336583,0.0,272575,-0.0861297054716914,-269306.5659864414,-0.04331552982330322,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,0.5,0.0,128,3,1,5,4,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl3-hu128-lr0.01-reg0.0-kp0.5-n1
0.0003295516651063008,0.0,272575,0.0014226429063745885,0.0010811422784721136,0.04508683830499649,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,0.7,0.0,64,4,1,3,4,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl4-hu64-lr0.0001-reg0.0-kp0.7-n1
0.00033109870116689304,0.0,272575,0.08098411523626192,-0.003608137970737113,0.12486904114484787,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,0.7,0.0,16,2,1,3,5,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl2-hu16-lr0.001-reg0.0-kp0.7-n1
0.0003227266104920661,0.0,272575,0.1462453946287899,0.021768883201769507,0.16635851562023163,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,0.9,0.0,64,1,1,4,1,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0-kp0.9-n1
0.0003987073388583314,2.129934500771924e-06,272575,-0.04822107505953498,-0.20853970124024387,-0.04883381724357605,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,1.0,0.001,8,3,1,5,1,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl3-hu8-lr0.001-reg0.001-kp1.0-n1
0.951371022947095,2.9603868370031705e-06,272575,-0.042587806603230034,-2882.743409287828,0.005998533219099045,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,1.0,0.0001,256,4,1,4,5,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl4-hu256-lr0.001-reg0.0001-kp1.0-n1
0.0003282320211663016,6.474602542994035e-08,272575,0.07152377618217697,0.00508119770417037,0.09718122333288193,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,0.7,1e-05,256,5,1,1,4,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0122-hl5-hu256-lr0.0001-reg1e-05-kp0.7-n1
0.007619250735921793,9.099953786062542e-06,272575,0.08633583075652833,-22.095052753728233,0.0683148205280304,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,1.0,0.001,8,4,1,5,3,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0122-hl4-hu8-lr0.0001-reg0.001-kp1.0-n1
0.000951001206648027,0.0,272575,0.08014394534656649,-1.8826224273254493,0.06566132605075836,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,1.0,0.0,256,1,1,1,3,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0122-hl1-hu256-lr0.01-reg0.0-kp1.0-n1
0.0004298229729514123,4.302311208448373e-05,272575,0.09897218461546192,-0.30285570108513427,0.048012372106313705,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.0001,1.0,0.001,128,4,1,5,3,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0122-hl4-hu128-lr0.0001-reg0.001-kp1.0-n1
0.003261988669284331,1.9954334220528835e-06,272575,-0.014621313821944648,-8.887560218724742,0.02973848208785057,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,1.0,0.0001,256,1,1,1,2,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0122-hl1-hu256-lr0.001-reg0.0001-kp1.0-n1
0.00031965655720987083,0.0,272575,0.1366383791772601,0.031074680903610208,0.19383594393730164,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,0.5,0.0,16,2,1,4,5,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0122-hl2-hu16-lr0.001-reg0.0-kp0.5-n1
0.0003299188569412898,2.2313951901498097e-12,272575,nan,-3.1850007351952314e-05,nan,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,1.0,0.001,8,5,1,2,3,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0122-hl5-hu8-lr0.01-reg0.001-kp1.0-n1
0.0003476845630562507,4.235045025779982e-07,272575,-0.04864175859054332,-0.05388225341669962,-0.05955282598733902,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,0.5,0.0001,8,4,1,1,2,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0122-hl4-hu8-lr0.01-reg0.0001-kp0.5-n1
0.0003297877048109603,1.9246449483034667e-06,272575,0.07620925758692879,0.0003656739460817793,0.06438601016998291,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,0.9,0.001,8,3,1,2,5,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0122-hl3-hu8-lr0.01-reg0.001-kp0.9-n1
0.00032990892294416,5.446550987997512e-10,272575,nan,-1.7578948903196334e-06,-1.1271207078777934e-08,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,0.7,0.01,16,4,1,5,4,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0122-hl4-hu16-lr0.01-reg0.01-kp0.7-n1
2.845175685176694,2.606408067151733e-08,272575,0.07368918258431144,-8623.139740531236,0.12625445425510406,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.01,0.9,1e-05,8,4,1,2,3,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0122-hl4-hu8-lr0.01-reg1e-05-kp0.9-n1
0.00032990887207718825,4.630218083945259e-12,272575,nan,-1.5878414982850586e-06,nan,0121_with_larger_training_,StateToProbGainPerTimeEstimator,0.001,0.9,0.01,64,4,1,1,2,0121_with_larger_training_-StateToProbGainPerTimeEstimator-0122-hl4-hu64-lr0.001-reg0.01-kp0.9-n1
